"","Company","Report_Date","OperatingExpenses","Last_Year_OperatingExpenses","Growth"
"253","MTB",2015-09-30,653816000,665359000,-0.017
"254","MTB",2015-12-31,543443000,425298000,0.278
"255","MTB",2016-03-31,776095000,686375000,0.131
"256","MTB",2016-06-30,749895000,696628000,0.076
"257","MTB",2016-09-30,752392000,653816000,0.151
"258","MTB",2016-12-31,449056000,543443000,-0.174
"259","MTB",2017-03-31,787852000,776095000,0.015
"260","MTB",2017-06-30,750635000,749895000,0.001
"261","MTB",2017-09-30,806025000,752392000,0.071
"262","MTB",2017-12-31,477906000,449056000,0.064
"263","MTB",2018-03-31,858003000,787852000,0.089
"264","MTB",2018-06-30,776577000,750635000,0.035
"265","MTB",2018-09-30,775979000,806025000,-0.037
"266","MTB",2018-12-31,510089000,477906000,0.067
"267","MTB",2019-03-31,827485000,858003000,-0.036
"268","PNC",2009-06-30,2.492e+09,NA,NA
"269","PNC",2009-09-30,2.214e+09,NA,NA
"270","PNC",2009-12-31,2.209e+09,NA,NA
"271","PNC",2010-03-31,2.113e+09,NA,NA
"272","PNC",2010-06-30,2.002e+09,2.492e+09,-0.197
"273","PNC",2010-09-30,2.158e+09,2.214e+09,-0.025
"274","PNC",2010-12-31,2.34e+09,2.209e+09,0.059
"275","PNC",2011-03-31,2.07e+09,2.113e+09,-0.02
"276","PNC",2011-06-30,2.176e+09,2.002e+09,0.087
"277","PNC",2011-09-30,2.14e+09,2.158e+09,-0.008
"278","PNC",2011-12-31,2.719e+09,2.34e+09,0.162
"279","PNC",2012-03-31,2.455e+09,2.07e+09,0.186
"280","PNC",2012-06-30,2.648e+09,2.176e+09,0.217
"281","PNC",2012-09-30,2.65e+09,2.14e+09,0.238
"282","PNC",2012-12-31,2.733e+09,2.719e+09,0.005
"283","PNC",2013-03-31,2.368e+09,2.455e+09,-0.035
"284","PNC",2013-06-30,2.405e+09,2.648e+09,-0.092
"285","PNC",2013-09-30,2.394e+09,2.65e+09,-0.097
"286","PNC",2013-12-31,2.514e+09,2.733e+09,-0.08
"287","PNC",2014-03-31,2.264e+09,2.368e+09,-0.044
"288","PNC",2014-06-30,2.328e+09,2.405e+09,-0.032
"289","PNC",2014-09-30,2.357e+09,2.394e+09,-0.015
"290","PNC",2014-12-31,2.539e+09,2.514e+09,0.01
"291","PNC",2015-03-31,2.349e+09,2.264e+09,0.038
"292","PNC",2015-06-30,2.366e+09,2.328e+09,0.016
"293","PNC",2015-09-30,2.352e+09,2.357e+09,-0.002
"294","PNC",2015-12-31,2.396e+09,2.539e+09,-0.056
"295","PNC",2016-03-31,2.281e+09,2.349e+09,-0.029
"296","PNC",2016-06-30,2.36e+09,2.366e+09,-0.003
"297","PNC",2016-09-30,2.394e+09,2.352e+09,0.018
"298","PNC",2016-12-31,2.441e+09,2.396e+09,0.019
"299","PNC",2017-03-31,2.402e+09,2.281e+09,0.053
"300","PNC",2017-06-30,2.479e+09,2.36e+09,0.05
"301","PNC",2017-09-30,2.456e+09,2.394e+09,0.026
"302","PNC",2017-12-31,3.061e+09,2.441e+09,0.254
"303","PNC",2018-03-31,2.527e+09,2.402e+09,0.052
"304","PNC",2018-06-30,2.584e+09,2.479e+09,0.042
"305","PNC",2018-09-30,2.608e+09,2.456e+09,0.062
"306","PNC",2018-12-31,2.577e+09,3.061e+09,-0.158
"307","PNC",2019-03-31,2.578e+09,2.527e+09,0.02
"308","PNC",2019-06-30,2.611e+09,2.584e+09,0.01
"309","STI",2009-06-30,1464527000,NA,NA
"310","STI",2009-09-30,1416571000,NA,NA
"311","STI",2009-12-31,1534614000,NA,NA
"312","STI",2010-03-31,1.37e+09,NA,NA
"313","STI",2010-06-30,1.44e+09,1464527000,-0.017
"314","STI",2010-09-30,1.487e+09,1416571000,0.05
"315","STI",2010-12-31,1.546e+09,1534614000,0.007
"316","STI",2011-03-31,1.465e+09,1.37e+09,0.069
"317","STI",2011-06-30,1.543e+09,1.44e+09,0.072
"318","STI",2011-09-30,1.561e+09,1.487e+09,0.05
"319","STI",2011-12-31,1.667e+09,1.546e+09,0.078
"320","STI",2012-03-31,1.541e+09,1.465e+09,0.052
"321","STI",2012-06-30,1.533e+09,1.543e+09,-0.006
"322","STI",2012-09-30,1.724e+09,1.561e+09,0.104
"323","STI",2012-12-31,1.47e+09,1.667e+09,-0.118
"324","STI",2013-03-31,1.353e+09,1.541e+09,-0.122
"325","STI",2013-06-30,1.387e+09,1.533e+09,-0.095
"326","STI",2013-09-30,1.73e+09,1.724e+09,0.003
"327","STI",2013-12-31,1.361e+09,1.47e+09,-0.074
"328","STI",2014-03-31,1.357e+09,1.353e+09,0.003
"329","STI",2014-06-30,1.517e+09,1.387e+09,0.094
"330","STI",2014-09-30,1.259e+09,1.73e+09,-0.272
"331","STI",2014-12-31,1.409e+09,1.361e+09,0.035
"332","STI",2015-03-31,1.28e+09,1.357e+09,-0.057
"333","STI",2015-06-30,1.328e+09,1.517e+09,-0.125
"334","STI",2015-09-30,1.264e+09,1.259e+09,0.004
"335","STI",2015-12-31,1.288e+09,1.409e+09,-0.086
"336","STI",2016-03-31,1.318e+09,1.28e+09,0.03
"337","STI",2016-06-30,1.345e+09,1.328e+09,0.013
"338","STI",2016-09-30,1.409e+09,1.264e+09,0.115
"339","STI",2016-12-31,1.396e+09,1.288e+09,0.084
"340","STI",2017-03-31,1.465e+09,1.318e+09,0.112
"341","STI",2017-06-30,1.388e+09,1.345e+09,0.032
"342","STI",2017-09-30,1.391e+09,1.409e+09,-0.013
"343","STI",2017-12-31,1.521e+09,1.396e+09,0.09
"344","STI",2018-03-31,1.417e+09,1.465e+09,-0.033
"345","STI",2018-06-30,1.39e+09,1.388e+09,0.001
"346","STI",2018-09-30,1.384e+09,1.391e+09,-0.005
"347","STI",2018-12-31,1.482e+09,1.521e+09,-0.026
"348","STI",2019-03-31,1.489e+09,1.417e+09,0.051
"349","USB",2009-06-30,2.129e+09,NA,NA
"350","USB",2009-09-30,2.053e+09,NA,NA
"351","USB",2009-12-31,2.228e+09,NA,NA
"352","USB",2010-03-31,2.136e+09,NA,NA
"353","USB",2010-06-30,2.377e+09,2.129e+09,0.116
"354","USB",2010-09-30,2.385e+09,2.053e+09,0.162
"355","USB",2010-12-31,2.485e+09,2.228e+09,0.115
"356","USB",2011-03-31,2.314e+09,2.136e+09,0.083
"357","USB",2011-06-30,2.425e+09,2.377e+09,0.02
"358","USB",2011-09-30,2.476e+09,2.385e+09,0.038
"359","USB",2011-12-31,2.696e+09,2.485e+09,0.085
"360","USB",2012-03-31,2.56e+09,2.314e+09,0.106
"361","USB",2012-06-30,2.601e+09,2.425e+09,0.073
"362","USB",2012-09-30,2.609e+09,2.476e+09,0.054
"363","USB",2012-12-31,2.686e+09,2.696e+09,-0.004
"364","USB",2013-03-31,2.47e+09,2.56e+09,-0.035
"365","USB",2013-06-30,2.557e+09,2.601e+09,-0.017
"366","USB",2013-09-30,2.565e+09,2.609e+09,-0.017
"367","USB",2013-12-31,2.682e+09,2.686e+09,-0.001
"368","USB",2014-03-31,2.544e+09,2.47e+09,0.03
"369","USB",2014-06-30,2.753e+09,2.557e+09,0.077
"370","USB",2014-09-30,2.614e+09,2.565e+09,0.019
"371","USB",2014-12-31,2.804e+09,2.682e+09,0.045
"372","USB",2015-03-31,2.665e+09,2.544e+09,0.048
"373","USB",2015-06-30,2.682e+09,2.753e+09,-0.026
"374","USB",2015-09-30,2.775e+09,2.614e+09,0.062
"375","USB",2015-12-31,2.809e+09,2.804e+09,0.002
"376","USB",2016-03-31,2.749e+09,2.665e+09,0.032
"377","USB",2016-06-30,2.992e+09,2.682e+09,0.116
"378","USB",2016-09-30,2.931e+09,2.775e+09,0.056
"379","USB",2016-12-31,2.855e+09,2.809e+09,0.016
"380","USB",2017-03-31,2.909e+09,2.749e+09,0.058
"381","USB",2017-06-30,2.984e+09,2.992e+09,-0.003
"382","USB",2017-09-30,2.998e+09,2.931e+09,0.023
"383","USB",2017-12-31,3.899e+09,2.855e+09,0.366
"384","USB",2018-03-31,3.055e+09,2.909e+09,0.05
"385","USB",2018-06-30,3.085e+09,2.984e+09,0.034
"386","USB",2018-09-30,3.044e+09,2.998e+09,0.015
"387","USB",2018-12-31,3.28e+09,3.899e+09,-0.159
"388","USB",2019-03-31,3.087e+09,3.055e+09,0.01
