"","Company","Report_Date","Revenue","Last_Year_Revenue","growth","ranked_growth"
"150","HBAN",2017-03-31,9.74e+08,717351000,0.358,5
"151","HBAN",2016-12-31,994165000,733145000,0.356,6
"152","HBAN",2011-06-30,623307000,475893000,0.31,7
"153","HBAN",2017-09-30,1.045e+09,8.64e+08,0.209,8
"154","HBAN",2016-09-30,8.64e+08,726098000,0.19,9
"155","HBAN",2012-12-31,700712000,599086000,0.17,10
"156","HBAN",2012-03-31,668123000,591890000,0.129,11
"157","HBAN",2011-09-30,621451000,557945000,0.114,12
"158","HBAN",2015-06-30,752040000,680730000,0.105,13
"159","HBAN",2014-12-31,704036000,656210000,0.073,14
"160","HBAN",2019-06-30,1.127e+09,1.064e+09,0.059,15
"161","HBAN",2016-03-31,717351000,678717000,0.057,16
"162","HBAN",2018-12-31,1.102e+09,1.044e+09,0.056,17
"163","HBAN",2019-03-31,1.074e+09,1.018e+09,0.055,18
"164","HBAN",2015-09-30,726098000,689204000,0.054,19
"165","HBAN",2012-09-30,654361000,621451000,0.053,20
"166","HBAN",2017-12-31,1.044e+09,994165000,0.05,21
"167","HBAN",2018-03-31,1.018e+09,9.74e+08,0.045,22
"168","HBAN",2014-06-30,680730000,652134000,0.044,23
"169","HBAN",2018-09-30,1.091e+09,1.045e+09,0.044,23
"170","HBAN",2015-12-31,733145000,704036000,0.041,24
"171","HBAN",2012-06-30,646261000,623307000,0.037,25
"172","HBAN",2014-09-30,689204000,667219000,0.033,26
"173","HBAN",2015-03-31,678717000,661361000,0.026,27
"174","HBAN",2013-09-30,667219000,654361000,0.02,28
"175","HBAN",2018-06-30,1.064e+09,1.045e+09,0.018,29
"176","HBAN",2014-03-31,661361000,651196000,0.016,30
"177","HBAN",2011-12-31,599086000,592541000,0.011,31
"178","HBAN",2013-06-30,652134000,646261000,0.009,32
"179","HBAN",2016-06-30,752484000,752040000,0.001,33
"180","HBAN",2013-03-31,651196000,668123000,-0.025,34
"181","HBAN",2013-12-31,656210000,700712000,-0.064,35
"182","HBAN",2010-12-31,592541000,-275382000,-3.152,36
"183","HBAN",2009-06-30,202137000,NA,NA,NA
"184","HBAN",2009-09-30,143735000,NA,NA,NA
"185","HBAN",2009-12-31,-275382000,NA,NA,NA
"186","HBAN",2010-03-31,399737000,NA,NA,NA
"187","KEY",2010-09-30,1.032e+09,2.41e+08,3.282,1
"188","KEY",2010-12-31,1.252e+09,3.43e+08,2.65,2
"189","KEY",2010-06-30,8.81e+08,4.52e+08,0.949,3
"190","KEY",2011-03-31,1.094e+09,6.62e+08,0.653,4
"191","KEY",2017-06-30,1.56e+09,1.018e+09,0.532,5
"192","KEY",2017-03-31,1.432e+09,9.46e+08,0.514,6
"193","KEY",2016-12-31,1.49e+09,1.042e+09,0.43,7
"194","KEY",2016-09-30,1.27e+09,1.016e+09,0.25,8
"195","KEY",2017-09-30,1.489e+09,1.27e+09,0.172,9
"196","KEY",2011-06-30,1.026e+09,8.81e+08,0.165,10
"197","KEY",2012-12-31,9.83e+08,8.73e+08,0.126,11
"198","KEY",2015-09-30,1.016e+09,9.73e+08,0.044,12
"199","KEY",2014-03-31,9.94e+08,9.53e+08,0.043,13
"200","KEY",2014-12-31,1.05e+09,1.009e+09,0.041,14
"201","KEY",2017-12-31,1.545e+09,1.49e+09,0.037,15
"202","KEY",2018-03-31,1.484e+09,1.432e+09,0.036,16
"203","KEY",2014-06-30,1.016e+09,9.82e+08,0.035,17
"204","KEY",2018-09-30,1.533e+09,1.489e+09,0.03,18
"205","KEY",2013-09-30,1.009e+09,9.81e+08,0.029,19
"206","KEY",2018-12-31,1.586e+09,1.545e+09,0.027,20
"207","KEY",2013-12-31,1.009e+09,9.83e+08,0.026,21
"208","KEY",2015-06-30,1.031e+09,1.016e+09,0.015,22
"209","KEY",2018-06-30,1.575e+09,1.56e+09,0.01,23
"210","KEY",2013-06-30,9.82e+08,9.74e+08,0.008,24
"211","KEY",2013-03-31,9.53e+08,9.53e+08,0,25
"212","KEY",2015-12-31,1.042e+09,1.05e+09,-0.008,26
"213","KEY",2011-09-30,1.022e+09,1.032e+09,-0.01,27
"214","KEY",2016-06-30,1.018e+09,1.031e+09,-0.013,28
"215","KEY",2015-03-31,9.73e+08,9.94e+08,-0.021,29
"216","KEY",2019-03-31,1.451e+09,1.484e+09,-0.022,30
"217","KEY",2016-03-31,9.46e+08,9.73e+08,-0.028,31
"218","KEY",2019-06-30,1.529e+09,1.575e+09,-0.029,32
"219","KEY",2014-09-30,9.73e+08,1.009e+09,-0.036,33
"220","KEY",2012-09-30,9.81e+08,1.022e+09,-0.04,34
"221","KEY",2012-06-30,9.74e+08,1.026e+09,-0.051,35
"222","KEY",2012-03-31,9.53e+08,1.094e+09,-0.129,36
"223","KEY",2011-12-31,8.73e+08,1.252e+09,-0.303,37
"224","KEY",2009-06-30,4.52e+08,NA,NA,NA
"225","KEY",2009-09-30,2.41e+08,NA,NA,NA
"226","KEY",2009-12-31,3.43e+08,NA,NA,NA
"227","KEY",2010-03-31,6.62e+08,NA,NA,NA
"228","MTB",2011-06-30,1024858000,755784000,0.356,1
"229","MTB",2011-12-31,942485000,776035000,0.214,2
"230","MTB",2011-09-30,927101000,766767000,0.209,3
"231","MTB",2010-06-30,755784000,626216000,0.207,4
"232","MTB",2016-09-30,1302690000,1088526000,0.197,5
"233","MTB",2012-03-31,948112000,808224000,0.173,6
"234","MTB",2016-03-31,1243897000,1061791000,0.172,7
"235","MTB",2013-06-30,1129276000,979633000,0.153,8
"236","MTB",2012-09-30,1062455000,927101000,0.146,9
"237","MTB",2010-12-31,776035000,679609000,0.142,10
"238","MTB",2010-09-30,766767000,671881000,0.141,11
"239","MTB",2011-03-31,808224000,709040000,0.14,12
"240","MTB",2012-12-31,1071586000,942485000,0.137,13
"241","MTB",2017-12-31,1424503000,1279223000,0.114,14
"242","MTB",2016-06-30,1280073000,1150155000,0.113,15
"243","MTB",2013-03-31,1050932000,948112000,0.108,16
"244","MTB",2019-03-31,1528825000,1391213000,0.099,17
"245","MTB",2015-12-31,1197152000,1100483000,0.088,18
"246","MTB",2016-12-31,1279223000,1197152000,0.069,19
"247","MTB",2018-03-31,1391213000,1306105000,0.065,20
"248","MTB",2017-09-30,1386563000,1302690000,0.064,21
"249","MTB",2018-06-30,1431201000,1347016000,0.062,22
"250","MTB",2018-09-30,1472332000,1386563000,0.062,22
"251","MTB",2018-12-31,1501556000,1424503000,0.054,23
"252","MTB",2017-06-30,1347016000,1280073000,0.052,24
"253","MTB",2015-06-30,1150155000,1095526000,0.05,25
"254","MTB",2017-03-31,1306105000,1243897000,0.05,25
"255","MTB",2013-09-30,1102496000,1062455000,0.038,26
"256","MTB",2014-12-31,1100483000,1070730000,0.028,27
"257","MTB",2015-03-31,1061791000,1044540000,0.017,28
"258","MTB",2013-12-31,1070730000,1071586000,-0.001,29
"259","MTB",2015-09-30,1088526000,1091170000,-0.002,30
"260","MTB",2014-03-31,1044540000,1050932000,-0.006,31
"261","MTB",2014-09-30,1091170000,1102496000,-0.01,32
"262","MTB",2014-06-30,1095526000,1129276000,-0.03,33
"263","MTB",2012-06-30,979633000,1024858000,-0.044,34
"264","MTB",2009-06-30,626216000,NA,NA,NA
"265","MTB",2009-09-30,671881000,NA,NA,NA
"266","MTB",2009-12-31,679609000,NA,NA,NA
"267","MTB",2010-03-31,709040000,NA,NA,NA
"268","PNC",2012-09-30,4.088e+09,3.544e+09,0.153,1
"269","PNC",2012-12-31,4.069e+09,3.549e+09,0.147,2
"270","PNC",2013-06-30,4.064e+09,3.623e+09,0.122,3
"271","PNC",2017-12-31,4.26e+09,3.874e+09,0.1,4
"272","PNC",2017-09-30,4.125e+09,3.829e+09,0.077,5
"273","PNC",2017-06-30,4.06e+09,3.794e+09,0.07,6
"274","PNC",2018-06-30,4.324e+09,4.06e+09,0.065,7
"275","PNC",2013-03-31,3.955e+09,3.732e+09,0.06,8
"276","PNC",2017-03-31,3.884e+09,3.665e+09,0.06,8
"277","PNC",2018-03-31,4.111e+09,3.884e+09,0.058,9
"278","PNC",2018-09-30,4.357e+09,4.125e+09,0.056,10
"279","PNC",2019-03-31,4.286e+09,4.111e+09,0.043,11
"280","PNC",2010-06-30,3.912e+09,3.803e+09,0.029,12
"281","PNC",2012-03-31,3.732e+09,3.631e+09,0.028,13
"282","PNC",2019-06-30,4.439e+09,4.324e+09,0.027,14
"283","PNC",2018-12-31,4.34e+09,4.26e+09,0.019,15
"284","PNC",2015-06-30,3.866e+09,3.81e+09,0.015,16
"285","PNC",2016-09-30,3.829e+09,3.775e+09,0.014,17
"286","PNC",2012-06-30,3.623e+09,3.602e+09,0.006,18
"287","PNC",2016-12-31,3.874e+09,3.853e+09,0.005,19
"288","PNC",2013-12-31,4.073e+09,4.069e+09,0.001,20
"289","PNC",2015-03-31,3.731e+09,3.777e+09,-0.012,21
"290","PNC",2011-09-30,3.544e+09,3.598e+09,-0.015,22
"291","PNC",2015-09-30,3.775e+09,3.841e+09,-0.017,23
"292","PNC",2016-03-31,3.665e+09,3.731e+09,-0.018,24
"293","PNC",2016-06-30,3.794e+09,3.866e+09,-0.019,25
"294","PNC",2014-09-30,3.841e+09,3.92e+09,-0.02,26
"295","PNC",2015-12-31,3.853e+09,3.947e+09,-0.024,27
"296","PNC",2014-12-31,3.947e+09,4.073e+09,-0.031,28
"297","PNC",2011-03-31,3.631e+09,3.763e+09,-0.035,29
"298","PNC",2013-09-30,3.92e+09,4.088e+09,-0.041,30
"299","PNC",2014-03-31,3.777e+09,3.955e+09,-0.045,31
"300","PNC",2014-06-30,3.81e+09,4.064e+09,-0.062,32
"301","PNC",2010-09-30,3.598e+09,3.853e+09,-0.066,33
"302","PNC",2011-06-30,3.602e+09,3.912e+09,-0.079,34
"303","PNC",2011-12-31,3.549e+09,3.903e+09,-0.091,35
"304","PNC",2010-12-31,3.903e+09,4.886e+09,-0.201,36
"305","PNC",2009-06-30,3.803e+09,NA,NA,NA
"306","PNC",2009-09-30,3.853e+09,NA,NA,NA
"307","PNC",2009-12-31,4.886e+09,NA,NA,NA
"308","PNC",2010-03-31,3.763e+09,NA,NA,NA
"309","STI",2010-09-30,1.67e+09,778580000,1.145,1
"310","STI",2010-12-31,1.786e+09,945031000,0.89,2
"311","STI",2012-09-30,3.363e+09,1.819e+09,0.849,3
"312","STI",2011-03-31,1.685e+09,1.008e+09,0.672,4
"313","STI",2010-06-30,1.468e+09,1199151000,0.224,5
"314","STI",2011-06-30,1.779e+09,1.468e+09,0.212,6
"315","STI",2012-12-31,1.933e+09,1.69e+09,0.144,7
"316","STI",2012-03-31,1.87e+09,1.685e+09,0.11,8
"317","STI",2011-09-30,1.819e+09,1.67e+09,0.089,9
"318","STI",2014-06-30,2.093e+09,1.923e+09,0.088,10
"319","STI",2012-06-30,1.914e+09,1.779e+09,0.076,11
"320","STI",2018-06-30,2.285e+09,2.14e+09,0.068,12
"321","STI",2017-03-31,2.094e+09,1.962e+09,0.067,13
"322","STI",2017-12-31,2.189e+09,2.057e+09,0.064,14
"323","STI",2014-09-30,1.902e+09,1.793e+09,0.061,15
"324","STI",2016-09-30,2.1e+09,1.99e+09,0.055,16
"325","STI",2018-03-31,2.209e+09,2.094e+09,0.055,16
"326","STI",2016-12-31,2.057e+09,1.96e+09,0.049,17
"327","STI",2017-06-30,2.14e+09,2.04e+09,0.049,17
"328","STI",2015-09-30,1.99e+09,1.902e+09,0.046,18
"329","STI",2018-12-31,2.278e+09,2.189e+09,0.041,19
"330","STI",2018-09-30,2.233e+09,2.156e+09,0.036,20
"331","STI",2016-03-31,1.962e+09,1.902e+09,0.032,21
"332","STI",2017-09-30,2.156e+09,2.1e+09,0.027,22
"333","STI",2015-12-31,1.96e+09,1.932e+09,0.014,23
"334","STI",2016-06-30,2.04e+09,2.015e+09,0.012,24
"335","STI",2014-03-31,1.893e+09,1.872e+09,0.011,25
"336","STI",2013-06-30,1.923e+09,1.914e+09,0.005,26
"337","STI",2015-03-31,1.902e+09,1.893e+09,0.005,26
"338","STI",2014-12-31,1.932e+09,1.926e+09,0.003,27
"339","STI",2013-03-31,1.872e+09,1.87e+09,0.001,28
"340","STI",2013-12-31,1.926e+09,1.933e+09,-0.004,29
"341","STI",2019-03-31,2.175e+09,2.209e+09,-0.015,30
"342","STI",2015-06-30,2.015e+09,2.093e+09,-0.037,31
"343","STI",2011-12-31,1.69e+09,1.786e+09,-0.054,32
"344","STI",2013-09-30,1.793e+09,3.363e+09,-0.467,33
"345","STI",2009-06-30,1199151000,NA,NA,NA
"346","STI",2009-09-30,778580000,NA,NA,NA
"347","STI",2009-12-31,945031000,NA,NA,NA
"348","STI",2010-03-31,1.008e+09,NA,NA,NA
"349","USB",2010-09-30,3.539e+09,2.744e+09,0.29,1
"350","USB",2010-12-31,3.756e+09,2.938e+09,0.278,2
"351","USB",2011-03-31,3.709e+09,2.96e+09,0.253,3
"352","USB",2010-06-30,3.328e+09,2.714e+09,0.226,4
"353","USB",2011-06-30,4.062e+09,3.328e+09,0.221,5
"354","USB",2011-12-31,4.551e+09,3.756e+09,0.212,6
"355","USB",2011-09-30,4.218e+09,3.539e+09,0.192,7
"356","USB",2012-03-31,4.392e+09,3.709e+09,0.184,8
"357","USB",2012-06-30,4.543e+09,4.062e+09,0.118,9
"358","USB",2012-09-30,4.634e+09,4.218e+09,0.099,10
"359","USB",2016-06-30,5.07e+09,4.707e+09,0.077,11
"360","USB",2017-12-31,5.21e+09,4.895e+09,0.064,12
